# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
#right
11121	246	153	260	181	30
#left
11111	186	153	200	181	30

#WALKING RIGHT
11222	275	154	291	180	30
11223	304	154	322	180	30

#WALKING LEFT
11212	155	154	171	180	30
11213	125	154	141	180	30

#RUNNING RIGHT
11321	334	154	356	180	30
11322	334	154	356	180	30
11323	392	154	414	180	30

#RUNNING LEFT
11311	91	154	113	180	30
11312	65	154	87	180	30
11313	34	154	56	180	30


#JUMP WALK RIGHT
11417	395	275	413	303	30
11413	35	275	53	303	30

#JUMP RUN RIGHT & LEFT
11427	394	195	414	223	30
11423	35	195	53	223	30

#SIT RIGHT & LEFT 
11521	426	239	442	257	30
11511	5	239	21	257	30

#BRACE RIGHT & LEFT 
11621	425	154	443	182	30
11611	5	154	23	182	30

#KICKINGRIGHT
11700	423	275	445	303	30
#KICKLEFT
11701	2	275	24	303	30

#PIPING
11702	214	153	232	181	30

#DIE
13001	215	120	234	137	30

############ SMALL ################
 #IDLE
12121	247	0	261	16	30
12111	187	0	201	16	30

#WALK RIGHT
12222	275	0	293	16	30
12223	306	0	322	16	30

#WALK LEFT
12212	155	0	171	16	30
12213	125	0	141	16	30

#RUN RIGHT
12321	275	0	291	16	30
12322	306	0	322	16	30
12323	335	0	351	16	30

#RUN LEFT
12311	155	0	171	16	30
12312	125	0	141	16	30
12313	95	0	111	16	30

#BRACE RIGHT & LEFT
12511	6	0	20	16	30
12521	426	0	440	16	30

#JUMP WALK RIGHT & LEFT 
12413	35	80	51	96	30
12417	395	80	411	96	30

#JUMP RUN RIGHT & LEFT 
12423	65	40	81	56	30
12427	365	40	381	56	30

#piping
12428	215	0	231	16	30

##################TAIL######################
#IDLE LEFT&RIGHT
13000	172	443	196	473	60
13001	211	443	233	473	60

#WALK LEFT
13002	121	443	146	473	60
13003	91	443	115	473	60

#WALK RIGHT
13004	261	443	285	473	60
13005	290	443	316	473	60

#RUN LEFT
13006	170	522	196	552	60
13007	130	522	156	552	60
13008	90	522	116	552	60
#RUN RIGHT
13009	210	522	236	552	60
13010	250	522	276	552	60
13011	290	522	316	552	60

#FALL LEFT
13012	172	602	196	630	60
#FALL RIGHT
13013	211	602	235	630	60

#FALL SLOW LEFT
13014	172	602	196	630	60
13015	91	442	115	470	60
13016	132	602	154	632	60
